treated,age,educ,black,hispanic,married,nodegree,re74,re75,re78,dwincl,early_ra,dataset,diff,u74,u75,age2,age3,educ2,re742,re752,black_u74,educ_re74,u74_hispanic,married_re74,married_u74
1,19,10,0,0,0,1,0,5324.1089,13829.62,1,1,0,8505.5117,1,0,361,6.8590002,100,0,28346136,0,0,0,0,0
0,34,13,1,0,1,0,0,0,5193.2471,1,0,0,5193.2471,1,1,1156,39.304001,169,0,0,1,0,0,0,1
1,26,11,0,0,0,1,0,2226.2661,13385.86,1,1,0,11159.594,1,0,676,17.576,121,0,4956261,0,0,0,0,0
0,30,11,1,0,1,1,24286.508,24105.387,7263.0249,0,0,0,-16842.361,0,0,900,27,121,589834432,581069696,0,267151.59,0,24286.508,0
0,36,12,1,0,0,0,0,142.39729,0,1,1,0,-142.39729,1,0,1296,46.655998,144,0,20276.988,1,0,0,0,0
1,45,5,1,0,1,1,0,0,8546.7148,1,0,0,8546.7148,1,1,2025,91.125,25,0,0,1,0,0,0,1
1,23,10,1,0,1,1,0,936.4386,11233.26,1,1,0,10296.821,1,0,529,12.167,100,0,876917.25,1,0,0,0,1
0,39,12,1,0,1,0,0,0,3795.7991,1,0,0,3795.7991,1,1,1521,59.319,144,0,0,1,0,0,0,1
0,23,9,1,0,1,1,19047.074,19289.852,7600.1045,0,0,0,-11689.747,0,0,529,12.167,81,362791040,372098368,0,171423.67,0,19047.074,0
0,27,11,1,0,1,1,0,4491.8838,0,1,1,0,-4491.8838,1,0,729,19.683001,121,0,20177020,1,0,0,0,1
1,38,12,0,0,0,0,0,0,4941.8491,1,1,0,4941.8491,1,1,1444,54.872002,144,0,0,0,0,0,0,0
0,24,11,0,0,0,1,2669.7251,1468.3831,10361.69,1,1,0,8893.3076,0,0,576,13.824,121,7127432,2156148.8,0,29366.977,0,0,0
1,26,11,1,0,1,1,0,1392.853,1460.36,1,1,0,67.506958,1,0,676,17.576,121,0,1940039.5,1,0,0,0,1
1,29,14,1,0,0,0,0,679.6734,17814.98,1,1,0,17135.307,1,0,841,24.389,196,0,461955.94,1,0,0,0,0
1,27,11,1,0,1,1,2336.114,2142.2166,2186.1892,0,0,0,43.972656,0,0,729,19.683001,121,5457428.5,4589092,0,25697.254,0,2336.114,0
0,55,3,1,0,0,1,0,0,5843.7959,1,0,0,5843.7959,1,1,3025,166.375,9,0,0,1,0,0,0,0
0,20,11,0,0,0,1,1413.1067,1177.1179,8743.0703,0,0,0,7565.9521,0,0,400,8,121,1996870.5,1385606.6,0,15544.174,0,0,0
0,54,11,1,0,0,1,0,0,7812.522,1,1,0,7812.522,1,1,2916,157.464,121,0,0,1,0,0,0,0
0,36,12,0,1,0,0,13661.178,11491.952,4978.5005,0,0,0,-6513.4517,0,0,1296,46.655998,144,186627776,132064968,0,163934.13,0,0,0
0,23,10,1,0,1,1,0,0,0,1,0,0,0,1,1,529,12.167,100,0,0,1,0,0,0,1
0,28,11,0,0,0,1,2787.7612,3200.9119,7645.0547,0,0,0,4444.1426,0,0,784,21.952,121,7771612.5,10245837,0,30665.373,0,0,0
0,32,12,0,1,1,0,0,0,6735.3198,1,1,0,6735.3198,1,1,1024,32.768002,144,0,0,0,0,1,0,1
0,32,12,1,0,0,0,13283.172,12419.185,10673.697,0,0,0,-1745.4873,0,0,1024,32.768002,144,176442656,154236144,0,159398.06,0,0,0
0,18,9,0,0,0,1,0,559.59601,7300.498,1,0,0,6740.9019,1,0,324,5.8319998,81,0,313147.69,0,0,0,0,0
1,26,11,0,0,0,1,22893.871,22959.762,2746.614,0,0,0,-20213.148,0,0,676,17.576,121,524129344,527150656,0,251832.58,0,0,0
1,28,11,1,0,1,1,6702.4512,6952.5796,7318.186,0,0,0,365.60645,0,0,784,21.952,121,44922852,48338364,0,73726.961,0,6702.4512,0
0,28,11,1,0,1,1,824.38892,10033.91,0,1,1,0,-10033.91,0,0,784,21.952,121,679617.06,100679352,0,9068.2783,0,824.38892,0
1,26,12,1,0,0,0,8811.7373,6608.8032,5811.7651,0,0,0,-797.03809,0,0,676,17.576,144,77646712,43676280,0,105740.84,0,0,0
0,31,13,1,0,0,0,10255.536,10393.613,7404.7622,0,0,0,-2988.8511,0,0,961,29.791,169,105176024,108027200,0,133321.97,0,0,0
0,28,9,1,0,1,1,10222.41,9210.4473,1239.844,1,1,0,-7970.6035,0,0,784,21.952,81,104497672,84832336,0,92001.688,0,10222.41,0
1,24,12,1,0,0,0,11972.125,12982.341,0,0,0,0,-12982.341,0,0,576,13.824,144,143331776,168541168,0,143665.5,0,0,0
1,46,13,1,0,0,0,0,0,647.20459,1,0,0,647.20459,1,1,2116,97.335999,169,0,0,1,0,0,0,0
1,18,10,1,0,1,1,785.05902,1958.0963,10989.928,0,0,0,9031.8311,0,0,324,5.8319998,100,616317.69,3834141.3,0,7850.5903,0,785.05902,0
0,26,11,1,0,1,1,0,4184.7319,0,1,1,0,-4184.7319,1,0,676,17.576,121,0,17511982,1,0,0,0,1
1,26,11,1,0,1,1,0,2754.646,26372.279,1,1,0,23617.633,1,0,676,17.576,121,0,7588074.5,1,0,0,0,1
0,22,12,1,0,0,0,4380.0171,2003.6801,439.68811,1,1,0,-1563.9919,0,0,484,10.648,144,19184550,4014733.8,0,52560.203,0,0,0
1,41,9,1,0,1,1,7864.9072,7212.1201,3154.72,0,0,0,-4057.4001,0,0,1681,68.920998,81,61856764,52014676,0,70784.164,0,7864.9072,0
0,22,10,0,0,0,1,27864.359,10598.67,7094.9199,1,1,0,-3503.75,0,0,484,10.648,100,776422528,112331808,0,278643.59,0,0,0
0,19,10,0,0,0,1,0,0,3194.01,1,0,0,3194.01,1,1,361,6.8590002,100,0,0,0,0,0,0,0
0,25,11,1,0,1,1,2336.114,3266.4058,479.2677,0,0,0,-2787.1382,0,0,625,15.625,121,5457428.5,10669407,0,25697.254,0,2336.114,0
0,29,13,1,0,0,0,718.24921,2265.5791,2725.322,1,1,0,459.74292,0,0,841,24.389,169,515881.94,5132848.5,0,9337.2393,0,0,0
0,21,9,0,0,0,1,2988.4121,1577.167,1740.199,1,1,0,163.03198,0,0,441,9.2609997,81,8930607,2487455.8,0,26895.709,0,0,0
1,24,11,1,0,1,1,824.38861,1666.113,4032.708,1,1,0,2366.595,0,0,576,13.824,121,679616.56,2775932.8,0,9068.2744,0,824.38861,0
1,29,12,1,0,0,0,9748.3867,4878.937,10976.51,1,1,0,6097.5728,0,0,841,24.389,144,95031040,23804026,0,116980.64,0,0,0
0,29,12,1,0,0,0,0,1359.3466,132.75999,0,1,0,-1226.5865,1,0,841,24.389,144,0,1847823.1,1,0,0,0,0
1,19,8,0,0,0,1,4101.9292,3416.907,9251.3564,0,0,0,5834.4492,0,0,361,6.8590002,64,16825824,11675253,0,32815.434,0,0,0
0,25,9,1,0,1,1,0,0,4715.3711,1,0,0,4715.3711,1,1,625,15.625,81,0,0,1,0,0,0,1
1,31,9,1,0,0,1,0,1698.6071,10363.27,1,1,0,8664.6621,1,0,961,29.791,81,0,2885266,1,0,0,0,0
0,28,13,1,0,0,0,0,0,0,1,0,0,0,1,1,784,21.952,169,0,0,1,0,0,0,0
1,21,11,1,0,1,1,3523.637,4167.998,11300.238,0,0,0,7132.2402,0,0,441,9.2609997,121,12416017,17372208,0,38760.008,0,3523.637,0
0,21,10,1,0,1,1,1946.761,1785.1798,6831.1055,0,0,0,5045.9258,0,0,441,9.2609997,100,3789878.3,3186867,0,19467.609,0,1946.761,0
0,27,12,0,0,0,0,0,0,14792.9,1,1,0,14792.9,1,1,729,19.683001,144,0,0,0,0,0,0,0
1,27,12,1,0,0,0,1971.3103,4310.4551,0,0,0,0,-4310.4551,0,0,729,19.683001,144,3886064.3,18580022,0,23655.723,0,0,0
0,26,12,0,0,0,0,0,0,12383.68,1,0,0,12383.68,1,1,676,17.576,144,0,0,0,0,0,0,0
1,31,13,0,0,0,0,5996.019,5498.3496,2329.8665,0,0,0,-3168.4832,0,0,961,29.791,169,35952244,30231848,0,77948.25,0,0,0
1,24,15,1,0,0,0,12813.506,13008.497,14683.629,0,0,0,1675.1318,0,0,576,13.824,225,164185936,169220992,0,192202.59,0,0,0
1,23,8,0,0,1,1,0,1713.15,4232.3091,1,1,0,2519.1592,1,0,529,12.167,64,0,2934883,0,0,0,0,1
0,28,12,1,0,1,0,10585.13,5551.4561,12780.02,1,1,0,7228.5635,0,0,784,21.952,144,112044976,30818664,0,127021.56,0,10585.13,0
1,31,12,0,0,0,0,0,2611.218,2484.5491,1,1,0,-126.66895,1,0,961,29.791,144,0,6818459.5,0,0,0,0,0
1,26,12,1,0,0,0,1051.2509,1088.907,11460.563,0,0,0,10371.656,0,0,676,17.576,144,1105128.4,1185718.4,0,12615.01,0,0,0
1,25,13,1,0,0,0,12362.93,3090.7319,0,1,1,0,-3090.7319,0,0,625,15.625,169,152842032,9552624,0,160718.09,0,0,0
0,26,14,1,0,1,0,2025.5663,2025.5663,0,0,0,0,-2025.5663,0,0,676,17.576,196,4102918.8,4102918.8,0,28357.928,0,2025.5663,0
0,33,9,0,1,1,1,0,0,0,1,1,0,0,1,1,1089,35.937,81,0,0,0,0,1,0,1
1,24,12,0,1,1,0,7864.897,7212.1104,6485.5083,0,0,0,-726.60205,0,0,576,13.824,144,61856604,52014536,0,94378.766,0,7864.897,0
0,21,14,1,0,0,0,6463.2437,5926.7944,29408.037,0,0,0,23481.242,0,0,441,9.2609997,196,41773520,35126892,0,90485.414,0,0,0
1,26,12,1,0,1,0,8408.7617,5794.8311,1424.944,1,1,0,-4369.8872,0,0,676,17.576,144,70707272,33580068,0,100905.14,0,8408.7617,0
0,24,12,1,0,0,0,0,159.8847,0,1,0,0,-159.8847,1,0,576,13.824,144,0,25563.119,1,0,0,0,0
0,24,12,1,0,0,0,4739.0308,8100.5332,11235.105,0,0,0,3134.5723,0,0,576,13.824,144,22458412,65618640,0,56868.367,0,0,0
1,25,12,0,0,0,0,0,0,5587.5029,1,1,0,5587.5029,1,1,625,15.625,144,0,0,0,0,0,0,0
1,42,14,1,0,0,0,0,0,20505.93,1,0,0,20505.93,1,1,1764,74.087997,196,0,0,1,0,0,0,0
1,18,12,1,0,0,0,562.65704,562.65704,0,0,0,0,-562.65704,0,0,324,5.8319998,144,316582.94,316582.94,0,6751.8848,0,0,0
0,25,12,1,0,1,0,0,0,0,1,1,0,0,1,1,625,15.625,144,0,0,1,0,0,0,1
1,21,12,1,0,0,0,6473.6831,3332.4089,9371.0371,1,1,0,6038.6279,0,0,441,9.2609997,144,41908572,11104949,0,77684.195,0,0,0
0,20,12,1,0,0,0,7182.4922,6004.728,4779.7202,1,1,0,-1225.0078,0,0,400,8,144,51588196,36056760,0,86189.906,0,0,0
1,20,12,1,0,0,0,0,0,0,1,0,0,0,1,1,400,8,144,0,0,1,0,0,0,0
0,20,12,1,0,0,0,557.69879,1371.473,20893.109,1,1,0,19521.637,0,0,400,8,144,311027.94,1880938.3,0,6692.3857,0,0,0
0,19,11,0,1,1,1,308.21924,308.21924,0,0,0,0,-308.21924,0,0,361,6.8590002,121,94999.102,94999.102,0,3390.4116,0,308.21924,0
1,23,12,1,0,1,0,0,0,5911.5508,1,0,0,5911.5508,1,1,529,12.167,144,0,0,1,0,0,0,1
0,26,12,1,0,1,0,0,0,6191.9429,1,1,0,6191.9429,1,1,676,17.576,144,0,0,1,0,0,0,1
1,31,11,1,0,1,1,0,0,14509.93,1,1,0,14509.93,1,1,961,29.791,121,0,0,1,0,0,0,1
0,27,13,0,0,0,0,5214.3062,474.5018,4812.5762,1,1,0,4338.0742,0,0,729,19.683001,169,27188988,225151.95,0,67785.977,0,0,0
1,41,4,1,0,1,1,0,0,7284.9858,1,0,0,7284.9858,1,1,1681,68.920998,16,0,0,1,0,0,0,1
0,27,12,0,0,0,0,6044.9512,5035.4443,0,0,0,0,-5035.4443,0,0,729,19.683001,144,36541436,25355700,0,72539.414,0,0,0
0,26,13,0,0,0,0,6476.7329,5395.1187,9766.2002,0,0,0,4371.0815,0,0,676,17.576,169,41948068,29107306,0,84197.531,0,0,0
0,39,11,1,0,0,1,0,83.689636,0,1,1,0,-83.689636,1,0,1521,59.319,121,0,7003.9551,1,0,0,0,0
1,30,11,1,0,1,1,0,0,590.7818,1,0,0,590.7818,1,1,900,27,121,0,0,1,0,0,0,1
0,28,12,1,0,1,0,31634.795,29009.107,10067.435,0,0,0,-18941.672,0,0,784,21.952,144,1000760256,841528320,0,379617.53,0,31634.795,0
1,21,12,0,0,0,0,0,0,8048.603,1,0,0,8048.603,1,1,441,9.2609997,144,0,0,0,0,0,0,0
1,23,12,0,1,0,0,9385.7402,1117.439,559.44318,1,1,0,-557.99579,0,0,529,12.167,144,88092120,1248669.9,0,112628.88,0,0,0
1,27,12,1,0,1,0,3670.8721,334.04929,0,1,1,0,-334.04929,0,0,729,19.683001,144,13475302,111588.92,0,44050.465,0,3670.8721,0
0,24,12,0,0,0,0,0,0,11294.63,1,1,0,11294.63,1,1,576,13.824,144,0,0,0,0,0,0,0
1,25,14,1,0,1,0,35040.07,11536.57,36646.949,1,1,0,25110.379,0,0,625,15.625,196,1227806464,133092456,0,490561,0,35040.07,0
0,21,12,0,0,0,0,7254.4199,5440.8149,11544.009,0,0,0,6103.1938,0,0,441,9.2609997,144,52626608,29602468,0,87053.039,0,0,0
1,21,12,0,0,0,0,8059.5796,7390.6343,3557.9343,0,0,0,-3832.7,0,0,441,9.2609997,144,64956824,54621476,0,96714.953,0,0,0
1,21,12,0,0,0,0,3670.8721,334.04941,12558.02,1,1,0,12223.97,0,0,441,9.2609997,144,13475302,111589.01,0,44050.465,0,0,0
1,38,11,1,0,0,1,0,0,0,1,1,0,0,1,1,1444,54.872002,121,0,0,1,0,0,0,0
1,40,12,1,0,0,0,0,0,10804.32,1,0,0,10804.32,1,1,1600,64,144,0,0,1,0,0,0,0
1,41,9,1,0,1,1,6307.5039,5783.9814,0,0,0,0,-5783.9814,0,0,1681,68.920998,81,39784604,33454442,0,56767.535,0,6307.5039,0
0,28,10,1,0,1,1,8293.3447,6449.48,16988.18,1,1,0,10538.699,0,0,784,21.952,100,68779568,41595792,0,82933.445,0,8293.3447,0
1,42,12,1,0,0,0,0,0,2456.1531,1,1,0,2456.1531,1,1,1764,74.087997,144,0,0,1,0,0,0,0
1,27,8,1,0,0,1,6150.4829,7218.2773,7976.9316,0,0,0,758.6543,0,0,729,19.683001,64,37828440,52103528,0,49203.863,0,0,0
1,23,12,1,0,1,0,15979.013,15079.947,10283.488,0,0,0,-4796.459,0,0,529,12.167,144,255328848,227404816,0,191748.16,0,15979.013,0
1,48,4,1,0,0,1,0,0,6551.5918,1,0,0,6551.5918,1,1,2304,110.592,16,0,0,1,0,0,0,0
1,29,10,0,1,0,1,0,8853.6738,5112.0142,1,1,0,-3741.6597,1,0,841,24.389,100,0,78387544,0,0,1,0,0
0,27,7,1,0,1,1,0,0,0,1,0,0,0,1,1,729,19.683001,49,0,0,1,0,0,0,1
1,44,11,1,0,0,1,0,0,0,1,0,0,0,1,1,1936,85.183998,121,0,0,1,0,0,0,0
0,26,8,1,0,1,1,3854.5852,4084.2581,0,0,0,0,-4084.2581,0,0,676,17.576,64,14857827,16681164,0,30836.682,0,3854.5852,0
1,37,11,1,0,1,1,0,0,9930.0459,1,0,0,9930.0459,1,1,1369,50.653,121,0,0,1,0,0,0,1
1,31,9,1,0,0,1,10717.03,5517.8408,9558.501,1,1,0,4040.6602,0,0,961,29.791,81,114854736,30446568,0,96453.273,0,0,0
0,36,11,1,0,0,1,5519.6694,7311.5615,0,0,0,0,-7311.5615,0,0,1296,46.655998,121,30466750,53458932,0,60716.363,0,0,0
0,22,7,1,0,0,1,13503.77,13503.77,11607.085,0,0,0,-1896.6846,0,0,484,10.648,49,182351792,182351792,0,94526.391,0,0,0
0,50,10,0,1,0,1,0,0,0,1,1,0,0,1,1,2500,125,100,0,0,0,0,1,0,0
1,29,11,1,0,1,1,0,0,9642.999,1,0,0,9642.999,1,1,841,24.389,121,0,0,1,0,0,0,1
1,38,9,0,0,0,1,0,0,6408.9502,1,0,0,6408.9502,1,1,1444,54.872002,81,0,0,0,0,0,0,0
0,28,11,1,0,0,1,17491.449,13371.25,0,1,1,0,-13371.25,0,0,784,21.952,121,305950784,178790320,0,192405.94,0,0,0
0,36,11,0,1,0,1,5443.7339,3063.8779,1324.542,1,1,0,-1739.3359,0,0,1296,46.655998,121,29634238,9387348,0,59881.074,0,0,0
0,22,11,1,0,1,1,0,0,1698.304,1,1,0,1698.304,1,1,484,10.648,121,0,0,1,0,0,0,1
1,33,11,1,0,0,1,0,7867.916,6281.4331,1,1,0,-1586.4829,1,0,1089,35.937,121,0,61904104,1,0,0,0,0
1,31,4,1,0,0,1,8517.5889,4023.2109,7382.5488,1,1,0,3359.3379,0,0,961,29.791,16,72549320,16186226,0,34070.355,0,0,0
1,37,9,1,0,0,1,0,0,1067.506,1,1,0,1067.506,1,1,1369,50.653,81,0,0,1,0,0,0,0
0,29,11,1,0,1,1,0,0,10225.88,1,0,0,10225.88,1,1,841,24.389,121,0,0,1,0,0,0,1
0,34,12,1,0,0,0,4906.6191,4087.2139,5670.8193,0,0,0,1583.6055,0,0,1156,39.304001,144,24074912,16705317,0,58879.43,0,0,0
0,45,9,1,0,0,1,0,0,4844.8032,1,1,0,4844.8032,1,1,2025,91.125,81,0,0,1,0,0,0,0
0,31,11,1,0,0,1,19555.316,18291.412,0,0,0,0,-18291.412,0,0,961,29.791,121,382410400,334575744,0,215108.48,0,0,0
0,31,11,1,0,0,1,8419.75,7505.2134,308.33524,0,0,0,-7196.8779,0,0,961,29.791,121,70892192,56328228,0,92617.25,0,0,0
1,19,9,0,1,0,1,3083.6689,3276.1504,14271.235,0,0,0,10995.085,0,0,361,6.8590002,81,9509014,10733161,0,27753.02,0,0,0
0,33,12,1,0,0,0,0,0,5970.2568,1,1,0,5970.2568,1,1,1089,35.937,144,0,0,1,0,0,0,0
1,17,10,1,0,0,1,1291.468,5793.8521,5522.7881,1,1,0,-271.06396,0,0,289,4.9130001,100,1667889.6,33568720,0,12914.68,0,0,0
1,25,11,1,0,1,1,0,0,1574.424,1,0,0,1574.424,1,1,625,15.625,121,0,0,1,0,0,0,1
0,22,11,1,0,0,1,1167.0154,875.26154,9139.6523,0,0,0,8264.3906,0,0,484,10.648,121,1361924.9,766082.75,0,12837.169,0,0,0
1,22,11,1,0,0,1,8176.3921,7497.7515,668.74658,0,0,0,-6829.0049,0,0,484,10.648,121,66853388,56216276,0,89940.313,0,0,0
0,19,8,0,1,0,1,1087.8032,1087.8032,2987.1008,0,0,0,1899.2976,0,0,361,6.8590002,64,1183315.9,1183315.9,0,8702.4258,0,0,0
1,22,11,1,0,0,1,12300.923,12170.943,8408.3926,0,0,0,-3762.5508,0,0,484,10.648,121,151312704,148131856,0,135310.16,0,0,0
0,25,10,1,0,1,1,0,0,3701.812,1,1,0,3701.812,1,1,625,15.625,100,0,0,1,0,0,0,1
0,25,10,1,0,1,1,13519.97,9319.4443,0,1,1,0,-9319.4443,0,0,625,15.625,100,182789584,86852040,0,135199.7,0,13519.97,0
0,43,10,1,0,0,1,2502.8679,4128.4429,7565.2729,1,1,0,3436.8301,0,0,1849,79.507004,100,6264348,17044040,0,25028.68,0,0,0
0,34,11,1,0,1,1,0,0,6040.335,1,0,0,6040.335,1,1,1156,39.304001,121,0,0,1,0,0,0,1
1,46,8,1,0,0,1,3165.658,2594.7229,0,1,1,0,-2594.7229,0,0,2116,97.335999,64,10021390,6732587,0,25325.264,0,0,0
0,21,11,1,0,1,1,9659.415,7244.561,8976.8262,0,0,0,1732.2651,0,0,441,9.2609997,121,93304296,52483664,0,106253.56,0,9659.415,0
0,22,9,1,0,0,1,0,506.40759,604.19873,1,1,0,97.791138,1,0,484,10.648,81,0,256448.66,1,0,0,0,0
0,34,10,1,0,1,1,0,0,0,1,0,0,0,1,1,1156,39.304001,100,0,0,1,0,0,0,1
1,29,10,1,0,0,1,0,4398.9502,0,1,1,0,-4398.9502,1,0,841,24.389,100,0,19350762,1,0,0,0,0
1,28,11,1,0,0,1,1929.0291,6871.856,0,1,1,0,-6871.856,0,0,784,21.952,121,3721153,47222404,0,21219.32,0,0,0
1,28,11,1,0,0,1,0,1284.079,60307.93,1,1,0,59023.852,1,0,784,21.952,121,0,1648858.9,1,0,0,0,0
1,28,10,1,0,0,1,0,2836.5061,3196.571,1,1,0,360.06494,1,0,784,21.952,100,0,8045767,1,0,0,0,0
0,45,11,1,0,0,1,0,0,11796.47,1,0,0,11796.47,1,1,2025,91.125,121,0,0,1,0,0,0,0
0,27,11,1,0,0,1,0,0,11197.34,1,0,0,11197.34,1,1,729,19.683001,121,0,0,1,0,0,0,0
1,27,11,1,0,0,1,3311.8027,2483.8521,0,0,0,0,-2483.8521,0,0,729,19.683001,121,10968037,6169521,0,36429.828,0,0,0
0,26,12,1,0,0,0,9247.1016,8479.5928,10820.553,0,0,0,2340.96,0,0,676,17.576,144,85508888,71903496,0,110965.22,0,0,0
1,27,10,1,0,0,1,3504.1682,3213.3223,2094.1189,0,0,0,-1119.2034,0,0,729,19.683001,100,12279195,10325440,0,35041.684,0,0,0
